ID,Raw_Text,Intent,Symptoms,Duration,Location,Severity,Case_Category,Processed_Text,Text_Length,Processed_Length,Word_Count
3559,Kram perut ini terasa di seluruh bagian perut.,jawab_lokasi, , ,perut,sedang,Gastritis,kram perut terasa seluruh bagian perut,46,38,6
3560,Ruam merah ini muncul di leher dan dada atas.,jawab_lokasi,ruam, ,dada,sedang,Dermatitis,ruam merah muncul leher dada atas,45,33,6
3561,"Benjolan ini ada di bawah ketiak sebelah kiri saya, Dok!",jawab_lokasi, , , ,sedang, ,benjolan bawah ketiak sebelah kiri,56,34,5
3562,"Pusingnya terasa di bagian belakang kepala, Dok!",jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya terasa bagian belakang kepala,48,39,5
3563,"Nyeri perutnya di ulu hati, kadang menjalar ke dada.",jawab_lokasi,nyeri, ,ulu hati,sedang,Gastritis,nyeri perutnya ulu hati kadang menjalar dada,52,44,7
3564,Ruamnya muncul di punggung dan sedikit di dada.,jawab_lokasi, , ,dada,ringan,Dermatitis,ruamnya muncul punggung sedikit dada,47,36,5
3565,"Bengkaknya ada di kedua mata kaki, terutama yang kanan.",jawab_lokasi, , ,kaki,sedang, ,bengkaknya kedua mata kaki terutama kanan,55,41,6
3566,Sakitnya terasa di seluruh area gigi geraham atas sebelah kiri.,jawab_lokasi, , , ,sedang, ,sakitnya terasa seluruh area gigi geraham atas sebelah kiri,63,59,9
3567,"Sesak napasnya terasa di dada bagian tengah, seperti tertekan.",jawab_lokasi,sesak, ,dada,sedang,ISPA,sesak napasnya terasa dada bagian tengah tertekan,62,49,7
3568,"Perihnya di bagian dalam telinga kiri, Dok.",jawab_lokasi, , ,telinga,sedang, ,perihnya bagian dalam telinga kiri,43,34,5
3569,"Lokasinya di sekitar mata kanan, terasa gatal sekali.",jawab_lokasi,gatal, ,mata,berat,Dermatitis,lokasinya sekitar mata kanan terasa gatal sekali,53,48,7
3570,"Di pergelangan tangan kanan, ada ruam merah.",jawab_lokasi,ruam, ,tangan,sedang,Dermatitis,pergelangan tangan kanan ruam merah,44,35,5
3571,"Sakitnya itu di dada, menjalar sampai ke bahu kiri.",jawab_lokasi, , ,dada,sedang, ,sakitnya dada menjalar sampai bahu kiri,51,39,6
3572,Nyerinya terpusat di perut bagian tengah atas.,jawab_lokasi, , ,perut,sedang,Gastritis,nyerinya terpusat perut bagian tengah atas,46,42,6
3573,"Di bagian kepala belakang, terasa sangat tegang.",jawab_lokasi, , ,kepala,berat, ,bagian kepala belakang terasa sangat tegang,48,43,6
3574,Keluhannya ada di seluruh permukaan kulit kepala saya.,jawab_lokasi, , ,kepala,sedang,Dermatitis,keluhannya seluruh permukaan kulit kepala,54,41,5
3575,"Di jari-jari kaki kanan saya, Dok, terutama ibu jari.",jawab_lokasi, , ,kaki,sedang, ,jari jari kaki kanan terutama jari,53,34,6
3576,"Di area selangkangan sebelah kiri, terasa perih dan gatal.",jawab_lokasi,"gatal,perih", , ,sedang,Dermatitis,area selangkangan sebelah kiri terasa perih gatal,58,49,7
3577,"Nyeri di punggung bagian bawah, menjalar sampai kaki!",jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri punggung bagian bawah menjalar sampai kaki,53,48,7
3578,"Kepala saya terasa sakit di bagian belakang, terutama di tengkuk.",jawab_lokasi,sakit, ,tengkuk,sedang,Hipertensi,kepala terasa sakit bagian belakang terutama tengkuk,65,52,7
3579,Ruamnya hanya ada di telapak tangan dan kaki saja.,jawab_lokasi, , ,tangan,sedang,Dermatitis,ruamnya telapak tangan kaki,50,27,4
3580,"Nyeri dada sebelah kiri, Dok, terasa berat sekali.",jawab_lokasi,nyeri, ,dada,berat, ,nyeri dada sebelah kiri terasa berat sekali,50,43,7
3581,"Perut saya sakit di bagian ulu hati, rasanya seperti terbakar.",jawab_lokasi,sakit, ,ulu hati,sedang,Gastritis,perut sakit bagian ulu hati rasanya terbakar,62,44,7
3582,Benjolannya terletak persis di bawah telinga kiri saya.,jawab_lokasi, , ,telinga,sedang, ,benjolannya terletak persis bawah telinga kiri,55,46,6
3583,Nyeri terasa di seluruh bagian kepala belakang.,jawab_lokasi,nyeri, ,kepala,sedang, ,nyeri terasa seluruh bagian kepala belakang,47,43,6
3584,Gatal-gatal ini muncul di lipatan siku dan lutut!,jawab_lokasi,gatal, , ,sedang,Dermatitis,gatal gatal muncul lipatan siku lutut,49,37,6
3585,Sakitnya menusuk-nusuk di dada sebelah kanan.,jawab_lokasi, , ,dada,sedang, ,sakitnya menusuk nusuk dada sebelah kanan,45,41,6
3586,"Perihnya itu di ulu hati, menjalar sampai ke tenggorokan.",jawab_lokasi, , ,ulu hati,sedang,ISPA,perihnya ulu hati menjalar sampai tenggorokan,57,45,6
3587,Benjolan ini ada di bawah ketiak kiri saya.,jawab_lokasi, , , ,sedang, ,benjolan bawah ketiak kiri,43,26,4
3588,"Bengkaknya ada di pergelangan kaki kanan, terasa sakit sekali.",jawab_lokasi,sakit, ,kaki,berat, ,bengkaknya pergelangan kaki kanan terasa sakit sekali,62,53,7
3589,"Di punggung bagian bawah, rasanya seperti tertarik.",jawab_lokasi, , ,punggung,sedang, ,punggung bagian bawah rasanya tertarik,51,38,5
3590,Ruam merahnya menyebar di kedua lengan.,jawab_lokasi,ruam, ,lengan,sedang,Dermatitis,ruam merahnya menyebar kedua lengan,39,35,5
3591,Nyeri tajamnya hanya terasa di sekitar mata kiri saja.,jawab_lokasi,nyeri, ,mata,sedang, ,nyeri tajamnya terasa sekitar mata kiri,54,39,6
3592,"Di seluruh punggung, terutama bagian bawah.",jawab_lokasi, , ,punggung,sedang, ,seluruh punggung terutama bagian bawah,43,38,5
3593,Nyerinya terasa di telapak kaki kanan.,jawab_lokasi, , ,kaki,sedang, ,nyerinya terasa telapak kaki kanan,38,34,5
3594,Gatalnya hanya di sekitar lipatan siku!,jawab_lokasi, , , ,sedang,Dermatitis,gatalnya sekitar lipatan siku,39,29,4
3595,Sakitnya menjalar dari leher ke bahu.,jawab_lokasi, , ,leher,sedang, ,sakitnya menjalar leher bahu,37,28,4
3596,"Pusingnya di bagian belakang kepala, Dok.",jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya bagian belakang kepala,41,32,4
3597,"Perihnya di ulu hati, kadang sampai ke dada.",jawab_lokasi, , ,ulu hati,sedang,Gastritis,perihnya ulu hati kadang sampai dada,44,36,6
3598,Ruamnya muncul di sekitar pergelangan tangan.,jawab_lokasi, , ,tangan,sedang,Dermatitis,ruamnya muncul sekitar pergelangan tangan,45,41,5
3599,Sesaknya terasa di dada seperti tertekan benda berat.,jawab_lokasi, , ,dada,sedang,ISPA,sesaknya terasa dada tertekan benda berat,53,41,6
3600,"Nyeri lututnya di bagian dalam, kalau ditekuk sakit sekali.",jawab_lokasi,"nyeri,sakit", , ,berat, ,nyeri lututnya bagian dalam ditekuk sakit sekali,59,48,7
3601,"Di sekitar telinga, terutama yang kanan, terasa gatal sekali.",jawab_lokasi,gatal, ,telinga,berat,Dermatitis,sekitar telinga terutama kanan terasa gatal sekali,61,50,7
3602,"Nyeri di punggung bawah, menjalar sampai kaki kiri, Dok.",jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri punggung bawah menjalar sampai kaki kiri,56,46,7
3603,"Rasa sakitnya terpusat di ulu hati, seperti terbakar begitu.",jawab_lokasi, , ,ulu hati,sedang,Gastritis,rasa sakitnya terpusat ulu hati terbakar,60,40,6
3604,"Di bagian leher belakang, dekat tengkuk, terasa kaku dan tegang.",jawab_lokasi, , ,tengkuk,sedang,Hipertensi,bagian leher belakang dekat tengkuk terasa kaku tegang,64,54,8
3605,"Benjolannya muncul di ketiak sebelah kiri, terasa sakit kalau ditekan.",jawab_lokasi,sakit, , ,sedang, ,benjolannya muncul ketiak sebelah kiri terasa sakit ditekan,70,59,8
3606,"Area mata, kelopak atas dan bawah, terasa sangat perih dan kering.",jawab_lokasi,perih, ,mata,berat, ,area mata kelopak atas bawah terasa sangat perih kering,66,55,9
3607,Nyeri haid kali ini terasa sampai ke pinggang dan paha.,jawab_lokasi,nyeri, , ,sedang, ,nyeri haid kali terasa sampai pinggang paha,55,43,7
3608,"Luka lecetnya ada di lutut dan siku sebelah kanan, Dok.",jawab_lokasi, , , ,sedang, ,luka lecetnya lutut siku sebelah kanan,55,38,6
3609,"Sakit kepala sebelah kanan, terutama di bagian pelipis, sangat mengganggu!",jawab_lokasi,sakit, ,kepala,berat, ,sakit kepala sebelah kanan terutama bagian pelipis sangat mengganggu,74,68,9
3610,Nyeri ini menjalar dari punggung bawah hingga ke kaki kiri.,jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri menjalar punggung bawah hingga kaki kiri,59,46,7
3611,"Keluhan utamanya di area wajah, terutama pipi dan dahi.",jawab_lokasi, , ,wajah,sedang, ,keluhan utamanya area wajah terutama pipi dahi,55,46,7
3612,"Sakitnya terpusat di ulu hati, Dok.",jawab_lokasi, , ,ulu hati,sedang,Gastritis,sakitnya terpusat ulu hati,35,26,4
3613,"Ruamnya menyebar di sekujur tubuh, tapi paling parah di lipatan siku.",jawab_lokasi, , , ,berat,Dermatitis,ruamnya menyebar sekujur tubuh tapi parah lipatan siku,69,54,8
3614,Pusingnya terasa di bagian belakang kepala.,jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya terasa bagian belakang kepala,43,39,5
3615,Nyeri sendi terutama di lutut dan pergelangan tangan.,jawab_lokasi,nyeri, ,tangan,sedang, ,nyeri sendi terutama lutut pergelangan tangan,53,45,6
3616,"Sakitnya itu di dada sebelah kiri, seperti ditindih beban berat.",jawab_lokasi, , ,dada,sedang, ,sakitnya dada sebelah kiri ditindih beban berat,64,47,7
3617,"Di sekitar telinga kanan, rasanya nyeri sekali.",jawab_lokasi,nyeri, ,telinga,berat, ,sekitar telinga kanan rasanya nyeri sekali,47,42,6
3618,"Paling terasa di pergelangan tangan kiri, Dok!",jawab_lokasi, , ,tangan,sedang, ,terasa pergelangan tangan kiri,46,30,4
3619,Nyeri punggung bawah menjalar sampai kaki kanan.,jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri punggung bawah menjalar sampai kaki kanan,48,47,7
3620,Gatal-gatalnya muncul di area lipatan siku dan lutut.,jawab_lokasi,gatal, , ,sedang,Dermatitis,gatal gatalnya muncul area lipatan siku lutut,53,45,7
3621,Sakit kepala ini berpusat di bagian belakang kepala.,jawab_lokasi,sakit, ,kepala,sedang, ,sakit kepala berpusat bagian belakang kepala,52,44,6
3622,"Nafas terasa sesak di dada sebelah kanan, Dok.",jawab_lokasi,sesak, ,dada,sedang,ISPA,nafas terasa sesak dada sebelah kanan,46,37,6
3623,"Di perut bagian bawah, rasanya seperti ditusuk-tusuk.",jawab_lokasi, , ,perut,sedang,Gastritis,perut bagian bawah rasanya ditusuk tusuk,53,40,6
3624,Ruam merah ini muncul di sekitar leher dan dada.,jawab_lokasi,ruam, ,dada,sedang,Dermatitis,ruam merah muncul sekitar leher dada,48,36,6
3625,Nyeri sendi ini terutama di jari-jari tangan dan kaki.,jawab_lokasi,nyeri, ,tangan,sedang, ,nyeri sendi terutama jari jari tangan kaki,54,42,7
3626,Pusingnya terasa berputar-putar di kepala bagian atas.,jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya terasa berputar putar kepala bagian atas,54,50,7
3627,Di area kepala belakang dan leher!,jawab_lokasi, , ,kepala,sedang, ,area kepala belakang leher,34,26,4
3628,Nyeri terasa di seluruh permukaan kulit kaki kanan.,jawab_lokasi,nyeri, ,kaki,sedang,Dermatitis,nyeri terasa seluruh permukaan kulit kaki kanan,51,47,7
3629,"Lokasinya di dada tengah, agak ke kiri.",jawab_lokasi, , ,dada,ringan, ,lokasinya dada tengah agak kiri,39,31,5
3630,"Perut saya, terutama ulu hati, terasa sakit sekali.",jawab_lokasi,sakit, ,ulu hati,berat,Gastritis,perut terutama ulu hati terasa sakit sekali,51,43,7
3631,Sakitnya menjalar dari pinggang sampai ke paha.,jawab_lokasi, , , ,sedang, ,sakitnya menjalar pinggang sampai paha,47,38,5
3632,Benjolan kecil ini ada di belakang telinga kiri.,jawab_lokasi, , ,telinga,sedang, ,benjolan kecil belakang telinga kiri,48,36,5
3633,Nyeri di bahu kanan menjalar hingga ke pergelangan tangan.,jawab_lokasi,nyeri, ,tangan,sedang, ,nyeri bahu kanan menjalar hingga pergelangan tangan,58,51,7
3634,Di bagian dalam telinga saya terasa penuh dan berdengung.,jawab_lokasi, , ,telinga,sedang, ,bagian dalam telinga terasa penuh berdengung,57,44,6
3635,"Nyeri tajam di punggung bagian bawah, Dok.",jawab_lokasi,nyeri, ,punggung,sedang, ,nyeri tajam punggung bagian bawah,42,33,5
3636,Kulit kepala saya terasa perih dan gatal di area dekat dahi.,jawab_lokasi,"gatal,perih", ,kepala,sedang,Dermatitis,kulit kepala terasa perih gatal area dekat dahi,60,47,8
3637,Kaki kiri saya bengkak di bagian mata kaki.,jawab_lokasi,bengkak, ,kaki,sedang, ,kaki kiri bengkak bagian mata kaki,43,34,6
3638,"Dada terasa sesak di bagian tengah, seperti tertekan beban berat.",jawab_lokasi,sesak, ,dada,sedang,ISPA,dada terasa sesak bagian tengah tertekan beban berat,65,52,8
3639,"Perut kembung di area ulu hati, tidak nyaman sekali rasanya.",jawab_lokasi,kembung, ,ulu hati,berat,Gastritis,perut kembung area ulu hati tidak nyaman sekali rasanya,60,55,9
3640,"Pusingnya di kepala bagian belakang, menjalar sampai leher.",jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya kepala bagian belakang menjalar sampai leher,59,54,7
3641,"Ruam merah ada di kedua lengan, terutama lipatan siku.",jawab_lokasi,ruam, ,lengan,sedang,Dermatitis,ruam merah kedua lengan terutama lipatan siku,54,45,7
3642,"Sakitnya di sekitar sendi lutut kanan, terasa ngilu.",jawab_lokasi, , , ,sedang, ,sakitnya sekitar sendi lutut kanan terasa ngilu,52,47,7
3643,"Di tenggorokan terasa ada yang mengganjal, Dok!",jawab_lokasi, , ,tenggorokan,sedang,ISPA,tenggorokan terasa mengganjal,47,29,3
3644,"Di sekitar telinga kanan, Dok.",jawab_lokasi, , ,telinga,sedang, ,sekitar telinga kanan,30,21,3
3645,"Nyeri ini terasa di seluruh punggung bawah, menjalar sampai kaki!",jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri terasa seluruh punggung bawah menjalar sampai kaki,65,56,8
3646,"Di lengan kiri bagian dalam, ada ruam merah gatal.",jawab_lokasi,"gatal,ruam", ,lengan,sedang,Dermatitis,lengan kiri bagian dalam ruam merah gatal,50,41,7
3647,Kepala saya terasa pusing berputar di bagian belakang.,jawab_lokasi,pusing, ,kepala,sedang,Hipertensi,kepala terasa pusing berputar bagian belakang,54,45,6
3648,"Rasanya sakit di ulu hati dan dada, seperti terbakar.",jawab_lokasi,sakit, ,ulu hati,sedang,Gastritis,rasanya sakit ulu hati dada terbakar,53,36,6
3649,"Di area leher belakang terasa tegang sekali, Dok.",jawab_lokasi, , ,leher,berat, ,area leher belakang terasa tegang sekali,49,40,6
3650,"Hidung tersumbat di bagian dalam, terasa penuh lendir.",jawab_lokasi, , ,hidung,sedang, ,hidung tersumbat bagian dalam terasa penuh lendir,54,49,7
3651,Kaki kiri saya bengkak di bagian pergelangan.,jawab_lokasi,bengkak, ,kaki,sedang, ,kaki kiri bengkak bagian pergelangan,45,36,5
3652,"Di area selangkangan terasa gatal dan perih, Dok!",jawab_lokasi,"gatal,perih", , ,sedang,Dermatitis,area selangkangan terasa gatal perih,49,36,5
3653,"Sakitnya itu di pundak sebelah kanan, Dok.",jawab_lokasi, , , ,sedang, ,sakitnya pundak sebelah kanan,42,29,4
3654,"Di sekitar area lambung, agak perih rasanya.",jawab_lokasi,perih, , ,ringan, ,sekitar area lambung agak perih rasanya,44,39,6
3655,Kulit saya gatal-gatal di lipatan siku dan lutut!,jawab_lokasi,gatal, ,kulit,sedang,Dermatitis,kulit gatal gatal lipatan siku lutut,49,36,6
3656,"Nyeri di dada sebelah kanan, menjalar ke lengan.",jawab_lokasi,nyeri, ,dada,sedang, ,nyeri dada sebelah kanan menjalar lengan,48,40,6
3657,"Perut saya mulas di bagian bawah, Dok.",jawab_lokasi, , ,perut,sedang,Gastritis,perut mulas bagian bawah,38,24,4
3658,"Badan terasa lemas dan ngilu semua, terutama di punggung.",jawab_lokasi,lemas, ,punggung,sedang,Diabetes,badan terasa lemas ngilu semua terutama punggung,57,48,7
3659,"Ruam merah ini muncul di seluruh badan, Dok.",jawab_lokasi,ruam, , ,sedang,Dermatitis,ruam merah muncul seluruh badan,44,31,5
3660,"Sesak napasnya di dada, seperti tertekan.",jawab_lokasi,sesak, ,dada,sedang,ISPA,sesak napasnya dada tertekan,41,28,4
3661,"Luka ini ada di kaki bagian bawah, dekat mata kaki.",jawab_lokasi, , ,kaki,sedang, ,luka kaki bagian bawah dekat mata kaki,51,38,7
3662,"Sakitnya di leher, sampai susah menoleh ke kiri.",jawab_lokasi, , ,leher,sedang, ,sakitnya leher sampai susah menoleh kiri,48,40,6
3663,"Pusingnya terasa di seluruh kepala, terutama bagian belakang.",jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya terasa seluruh kepala terutama bagian belakang,61,56,7
3664,Ruamnya hanya ada di sekitar pergelangan tangan saja.,jawab_lokasi, , ,tangan,sedang,Dermatitis,ruamnya sekitar pergelangan tangan,53,34,4
3665,Kramnya di perut bagian bawah sebelah kanan.,jawab_lokasi, , ,perut,sedang,Gastritis,kramnya perut bagian bawah sebelah kanan,44,40,6
3666,Luka bakar ini ada di telapak tangan kiri.,jawab_lokasi, , ,tangan,sedang, ,luka bakar telapak tangan kiri,42,30,5
3667,"Benjolannya terletak di leher sebelah kanan, agak ke bawah.",jawab_lokasi, , ,leher,ringan, ,benjolannya terletak leher sebelah kanan agak bawah,59,51,7
3668,"Di sekitar pusar, Dok!",jawab_lokasi, , , ,sedang, ,sekitar pusar,22,13,2
3669,"Nyeri di punggung bagian bawah, terasa menusuk.",jawab_lokasi,nyeri, ,punggung,sedang, ,nyeri punggung bagian bawah terasa menusuk,47,42,6
3670,Tepat di bawah payudara kanan.,jawab_lokasi, , , ,sedang, ,tepat bawah payudara kanan,30,26,4
3671,Gatal-gatalnya di seluruh lengan dan leher.,jawab_lokasi,gatal, ,lengan,sedang,Dermatitis,gatal gatalnya seluruh lengan leher,43,35,5
3672,Sakit kepalanya di bagian belakang kepala saja.,jawab_lokasi,sakit, ,kepala,sedang, ,sakit kepalanya bagian belakang kepala,47,38,5
3673,Benjolan ini muncul di ketiak kiri saya.,jawab_lokasi, , , ,sedang, ,benjolan muncul ketiak kiri,40,27,4
3674,"Kaki kiri, terutama di bagian mata kaki, terasa sakit.",jawab_lokasi,sakit, ,kaki,sedang, ,kaki kiri terutama bagian mata kaki terasa sakit,54,48,8
3675,"Nyeri ini menjalar dari leher sampai bahu kanan, Dok.",jawab_lokasi,nyeri, ,leher,sedang, ,nyeri menjalar leher sampai bahu kanan,53,38,6
3676,"Kemerahan ini hanya ada di sekitar hidung dan mulut, Bu.",jawab_lokasi, , ,hidung,sedang,Dermatitis,kemerahan sekitar hidung mulut,56,30,4
3677,"Di punggung bagian bawah, terutama saat membungkuk.",jawab_lokasi, , ,punggung,sedang, ,punggung bagian bawah terutama saat membungkuk,51,46,6
3678,Lengan kiri terasa kebas dan sedikit nyeri.,jawab_lokasi,nyeri, ,lengan,ringan, ,lengan kiri terasa kebas sedikit nyeri,43,38,6
3679,Ruam merah ini muncul di sekitar pergelangan kaki.,jawab_lokasi,ruam, ,kaki,sedang,Dermatitis,ruam merah muncul sekitar pergelangan kaki,50,42,6
3680,"Sakit kepala hebat di bagian belakang kepala, Dok.",jawab_lokasi,sakit, ,kepala,berat, ,sakit kepala hebat bagian belakang kepala,50,41,6
3681,Perut saya terasa kembung di bagian tengah atas.,jawab_lokasi,kembung, ,perut,sedang,Gastritis,perut terasa kembung bagian tengah atas,48,39,6
3682,Nyeri sendi terasa di lutut dan pergelangan tangan.,jawab_lokasi,nyeri, ,tangan,sedang, ,nyeri sendi terasa lutut pergelangan tangan,51,43,6
3683,"Gatal-gatal ini muncul di seluruh tubuh, terutama malam hari.",jawab_lokasi,gatal, , ,sedang,Dermatitis,gatal gatal muncul seluruh tubuh terutama malam hari,61,52,8
3684,"Di area sekitar luka bekas operasi, terasa nyeri saat ditekan.",jawab_lokasi,nyeri, , ,sedang, ,area sekitar luka bekas operasi terasa nyeri saat ditekan,62,57,9
3685,Nyerinya menjalar dari punggung bawah sampai ke kaki kanan.,jawab_lokasi, , ,kaki,sedang, ,nyerinya menjalar punggung bawah sampai kaki kanan,59,50,7
3686,Keluhannya terpusat di area sekitar pusar.,jawab_lokasi, , , ,sedang, ,keluhannya terpusat area sekitar pusar,42,38,5
3687,Sakit kepalanya terasa di bagian belakang kepala saja.,jawab_lokasi,sakit, ,kepala,sedang, ,sakit kepalanya terasa bagian belakang kepala,54,45,6
3688,Luka ini ada di telapak tangan kiri saya.,jawab_lokasi, , ,tangan,sedang, ,luka telapak tangan kiri,41,24,4
3689,Perut saya terasa sakit di sebelah kanan bawah.,jawab_lokasi,sakit, ,perut,sedang,Gastritis,perut terasa sakit sebelah kanan bawah,47,38,6
3690,"Gatal-gatal ini muncul di seluruh tubuh, terutama punggung.",jawab_lokasi,gatal, ,punggung,sedang,Dermatitis,gatal gatal muncul seluruh tubuh terutama punggung,59,50,7
3691,"Di punggung bagian bawah, terasa nyeri sekali!",jawab_lokasi,nyeri, ,punggung,berat, ,punggung bagian bawah terasa nyeri sekali,46,41,6
3692,"Di sekitar mata, terutama kelopak atas.",jawab_lokasi, , ,mata,sedang, ,sekitar mata terutama kelopak atas,39,34,5
3693,"Di pergelangan tangan kiri, rasanya sakit menusuk.",jawab_lokasi,sakit, ,tangan,sedang, ,pergelangan tangan kiri rasanya sakit menusuk,50,45,6
3694,"Di kepala bagian belakang, pusingnya terasa berputar.",jawab_lokasi, , ,kepala,sedang,Hipertensi,kepala bagian belakang pusingnya terasa berputar,53,48,6
3695,"Di dada, agak ke tengah sedikit, terasa sesak.",jawab_lokasi,sesak, ,dada,ringan,ISPA,dada agak tengah sedikit terasa sesak,46,37,6
3696,"Di perut bagian kanan bawah, sakitnya datang dan pergi.",jawab_lokasi, , ,perut,sedang,Gastritis,perut bagian kanan bawah sakitnya datang pergi,55,46,7
3697,"Di kaki, tepatnya di jari-jari kaki sebelah kiri.",jawab_lokasi, , ,kaki,sedang, ,kaki tepatnya jari jari kaki sebelah kiri,49,41,7
3698,"Di seluruh tubuh, rasanya gatal sekali!",jawab_lokasi,gatal, , ,berat,Dermatitis,seluruh tubuh rasanya gatal sekali,39,34,5
3699,"Di area sekitar ulu hati, terasa perih sekali.",jawab_lokasi,perih, ,ulu hati,berat,Gastritis,area sekitar ulu hati terasa perih sekali,46,41,7
3700,"Sakitnya menjalar dari leher belakang sampai bahu kanan, Dok!",jawab_lokasi, , ,leher,sedang, ,sakitnya menjalar leher belakang sampai bahu kanan,61,50,7
3701,Gatal-gatalnya hanya muncul di lipatan siku dan lutut saja.,jawab_lokasi,gatal, , ,sedang,Dermatitis,gatal gatalnya muncul lipatan siku lutut,59,40,6
3702,Kepala saya berdenyut-denyut di bagian pelipis kiri.,jawab_lokasi, , ,kepala,sedang, ,kepala berdenyut denyut bagian pelipis kiri,52,43,6
3703,"Ruam merahnya ada di seluruh wajah, terutama pipi dan hidung.",jawab_lokasi,ruam, ,wajah,sedang,Dermatitis,ruam merahnya seluruh wajah terutama pipi hidung,61,48,7
3704,Nyeri sendi ini terasa paling parah di lutut dan pergelangan kaki.,jawab_lokasi,nyeri, ,kaki,berat, ,nyeri sendi terasa parah lutut pergelangan kaki,66,47,7
3705,"Di dada sebelah kiri, terasa seperti ditekan benda berat.",jawab_lokasi, , ,dada,sedang, ,dada sebelah kiri terasa ditekan benda berat,57,44,7
3706,Luka ini terletak tepat di atas mata kanan saya.,jawab_lokasi, , ,mata,sedang, ,luka terletak tepat atas mata kanan,48,35,6
3707,Nyeri ini menjalar dari punggung bawah sampai kaki kanan.,jawab_lokasi,nyeri, ,kaki,sedang, ,nyeri menjalar punggung bawah sampai kaki kanan,57,47,7
3708,"Di seluruh permukaan kulit kepala, gatalnya bukan main.",jawab_lokasi, , ,kepala,sedang,Dermatitis,seluruh permukaan kulit kepala gatalnya bukan main,55,50,7
3709,Rasa sakitnya berpusat di area ulu hati.,jawab_lokasi, , ,ulu hati,sedang,Gastritis,rasa sakitnya berpusat area ulu hati,40,36,6
3710,"Di sekitar mata, bengkak dan perih rasanya.",jawab_lokasi,"perih,bengkak", ,mata,sedang, ,sekitar mata bengkak perih rasanya,43,34,5
3711,Keluhan utamanya di persendian lutut sebelah kiri.,jawab_lokasi, , , ,sedang, ,keluhan utamanya persendian lutut sebelah kiri,50,46,6
3712,Rasa tidak nyaman ini muncul di area dada tengah.,jawab_lokasi, , ,dada,sedang, ,rasa tidak nyaman muncul area dada tengah,49,41,7
3713,Nyeri otot ini terasa di betis dan paha kanan.,jawab_lokasi,nyeri, , ,sedang, ,nyeri otot terasa betis paha kanan,46,34,6
3714,"Ruam merah muncul di lengan bagian dalam, Dok.",jawab_lokasi,ruam, ,lengan,sedang,Dermatitis,ruam merah muncul lengan bagian dalam,46,37,6
3715,Rasa nyerinya itu menusuk-nusuk di bagian punggung bawah.,jawab_lokasi, , ,punggung,sedang, ,rasa nyerinya menusuk nusuk bagian punggung bawah,57,49,7
3716,"Keluhannya ada di sekitar mata, merah dan perih.",jawab_lokasi,perih, ,mata,sedang, ,keluhannya sekitar mata merah perih,48,35,5
3717,Gatalnya itu menyebar di seluruh area lipatan paha.,jawab_lokasi, , , ,sedang,Dermatitis,gatalnya menyebar seluruh area lipatan paha,51,43,6
3718,Nyeri di dada sebelah kiri menjalar sampai ke lengan.,jawab_lokasi,nyeri, ,dada,sedang, ,nyeri dada sebelah kiri menjalar sampai lengan,53,46,7
3719,"Pusingnya berputar-putar, terutama di bagian belakang kepala.",jawab_lokasi, , ,kepala,sedang,Hipertensi,pusingnya berputar putar terutama bagian belakang kepala,61,56,7
3720,"Ruamnya muncul di kedua tangan, terutama pergelangan.",jawab_lokasi, , ,tangan,sedang,Dermatitis,ruamnya muncul kedua tangan terutama pergelangan,53,48,6
3721,Sakitnya terasa di lutut kanan saat ditekuk.,jawab_lokasi, , , ,sedang, ,sakitnya terasa lutut kanan saat ditekuk,44,40,6
3722,"Keluhan utama ada di telapak kaki, terasa panas dan perih.",jawab_lokasi,"panas,perih", ,kaki,sedang, ,keluhan utama telapak kaki terasa panas perih,58,45,7
3723,"Keluhan utamanya di area sekitar mata, terasa perih.",jawab_lokasi,perih, ,mata,sedang, ,keluhan utamanya area sekitar mata terasa perih,52,47,7
3724,Ruam merahnya muncul di lipatan siku dan lutut.,jawab_lokasi,ruam, , ,sedang,Dermatitis,ruam merahnya muncul lipatan siku lutut,47,39,6
3725,"Perut bagian tengah, tepat di bawah pusar, terasa kembung.",jawab_lokasi,kembung, ,perut,sedang,Gastritis,perut bagian tengah tepat bawah pusar terasa kembung,58,52,8
3726,"Paling terasa sakit di pergelangan tangan kanan, Dok.",jawab_lokasi,sakit, ,tangan,sedang, ,terasa sakit pergelangan tangan kanan,53,37,5
3727,"Di area dada sebelah kanan, seperti ada yang menekan.",jawab_lokasi, , ,dada,sedang, ,area dada sebelah kanan menekan,53,31,5
3728,Luka lecetnya ada di lutut kiri dan telapak tangan kanan.,jawab_lokasi, , ,tangan,sedang, ,luka lecetnya lutut kiri telapak tangan kanan,57,45,7
